accession	organism	kingdom	length	cleavage_site
P01221	Cyprinus carpio (Common carp)	Metazoa	118	23
P01223	Bos taurus (Bovine)	Metazoa	138	20
P01224	Sus scrofa (Pig)	Metazoa	138	20
P01228	Sus scrofa (Pig)	Metazoa	129	20
P01232	Sus scrofa (Pig)	Metazoa	141	20
P01245	Equus caballus (Horse)	Metazoa	216	26
P01248	Sus scrofa (Pig)	Metazoa	216	26
P01269	Sus scrofa (Pig)	Metazoa	115	25
P01295	Gallus gallus (Chicken)	Metazoa	164	27
P01311	Oryctolagus cuniculus (Rabbit)	Metazoa	110	24
P01313	Cricetulus longicaudatus (Long-tailed dwarf hamster)	Metazoa	110	24
P01318	Ovis aries (Sheep)	Metazoa	105	24
P01335	Cyprinus carpio (Common carp)	Metazoa	108	21
P01342	Myxine glutinosa (Atlantic hagfish)	Metazoa	115	26
P01379	Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata)	Metazoa	87	21
P01404	Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	Metazoa	81	21
P01442	Naja atra (Chinese cobra)	Metazoa	81	21
P01443	Naja atra (Chinese cobra)	Metazoa	81	21
P01479	Androctonus australis (Sahara scorpion)	Metazoa	83	19
P01480	Androctonus australis (Sahara scorpion)	Metazoa	84	19
P01491	Centruroides sculpturatus (Arizona bark scorpion)	Metazoa	86	19
P01493	Centruroides sculpturatus (Arizona bark scorpion)	Metazoa	87	19
P01494	Centruroides sculpturatus (Arizona bark scorpion)	Metazoa	87	19
P01566	Homo sapiens (Human)	Metazoa	189	23
P01567	Homo sapiens (Human)	Metazoa	189	23
P01569	Homo sapiens (Human)	Metazoa	189	21
P01571	Homo sapiens (Human)	Metazoa	189	23
P01599	Homo sapiens (Human)	Metazoa	117	22
P01611	Homo sapiens (Human)	Metazoa	117	22
P01614	Homo sapiens (Human)	Metazoa	121	19
P01624	Homo sapiens (Human)	Metazoa	115	20
P01703	Homo sapiens (Human)	Metazoa	118	19
P01714	Homo sapiens (Human)	Metazoa	112	20
P01715	Homo sapiens (Human)	Metazoa	115	20
P01717	Homo sapiens (Human)	Metazoa	112	19
P01718	Homo sapiens (Human)	Metazoa	113	20
P01743	Homo sapiens (Human)	Metazoa	117	19
P01762	Homo sapiens (Human)	Metazoa	117	19
P01763	Homo sapiens (Human)	Metazoa	117	19
P01766	Homo sapiens (Human)	Metazoa	116	19
P01767	Homo sapiens (Human)	Metazoa	116	19
P01780	Homo sapiens (Human)	Metazoa	117	19
P01782	Homo sapiens (Human)	Metazoa	118	19
P01817	Homo sapiens (Human)	Metazoa	119	19
P01824	Homo sapiens (Human)	Metazoa	125	26
P01825	Homo sapiens (Human)	Metazoa	116	19
P01900	Mus musculus (Mouse)	Metazoa	365	24
P02229	Chironomus thummi thummi (Midge)	Metazoa	151	15
P02659	Gallus gallus (Chicken)	Metazoa	106	24
P02681	Tachypleus tridentatus (Japanese horseshoe crab)	Metazoa	195	20
P02703	Sus scrofa (Pig)	Metazoa	112	17
P02710	Tetronarce californica (Pacific electric ray) (Torpedo californica)	Metazoa	461	24
P02727	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	129	17
P02740	Anas platyrhynchos (Mallard) (Anas boschas)	Metazoa	127	18
P02742	Oryctolagus cuniculus (Rabbit)	Metazoa	225	20
P02755	Bubalus bubalis (Domestic water buffalo)	Metazoa	180	18
P02756	Capra hircus (Goat)	Metazoa	180	18
P02779	Oryctolagus cuniculus (Rabbit)	Metazoa	91	21
P02780	Rattus norvegicus (Rat)	Metazoa	95	18
P02781	Rattus norvegicus (Rat)	Metazoa	112	20
P02783	Rattus norvegicus (Rat)	Metazoa	112	21
P02809	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Metazoa	61	19
P02872	Arachis hypogaea (Peanut)	Plants	273	23
P02873	Phaseolus vulgaris (Kidney bean) (French bean)	Plants	246	23
P02876	Triticum aestivum (Wheat)	Plants	213	27
P02877	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	Plants	204	17
P04073	Rattus norvegicus (Rat)	Metazoa	392	16
P04119	Sus scrofa (Pig)	Metazoa	178	18
P04284	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Plants	159	24
P04430	Homo sapiens (Human)	Metazoa	117	22
P04552	Haliotis rufescens (California red abalone)	Metazoa	154	18
P04557	Bos taurus (Bovine)	Metazoa	140	25
P04651	Bos taurus (Bovine)	Metazoa	141	20
P04667	Oncorhynchus keta (Chum salmon) (Salmo keta)	Metazoa	105	22
P05013	Homo sapiens (Human)	Metazoa	189	20
P05099	Gallus gallus (Chicken)	Metazoa	493	23
P05366	Mus musculus (Mouse)	Metazoa	122	19
P05790	Bombyx mori (Silk moth)	Metazoa	5263	21
P06205	Limulus polyphemus (Atlantic horseshoe crab)	Metazoa	242	24
P06206	Limulus polyphemus (Atlantic horseshoe crab)	Metazoa	242	24
P06207	Limulus polyphemus (Atlantic horseshoe crab)	Metazoa	242	24
P06215	Phaseolus vulgaris (Kidney bean) (French bean)	Plants	328	27
P06911	Rattus norvegicus (Rat)	Metazoa	188	19
P07474	Oryctolagus cuniculus (Rabbit)	Metazoa	120	24
P07507	Bos taurus (Bovine)	Metazoa	103	19
P07597	Hordeum vulgare (Barley)	Plants	117	26
P07728	Oryza sativa subsp. japonica (Rice)	Plants	499	24
P07730	Oryza sativa subsp. japonica (Rice)	Plants	499	24
P08056	Rhizopus niveus	Fungi	238	16
P08379	Locusta migratoria (Migratory locust)	Metazoa	61	22
P08541	Rattus norvegicus (Rat)	Metazoa	530	23
P08899	Anguilla japonica (Japanese eel)	Metazoa	209	19
P08937	Rattus norvegicus (Rat)	Metazoa	172	15
P09462	Ovis aries (Sheep)	Metazoa	142	19
P09464	Pieris brassicae (White butterfly) (Large white butterfly)	Metazoa	189	15
P09465	Cricetus cricetus (Black-bellied hamster)	Metazoa	167	16
P09584	Oncorhynchus keta (Chum salmon) (Salmo keta)	Metazoa	210	23
P09586	Mus musculus (Mouse)	Metazoa	222	31
P09656	Rattus norvegicus (Rat)	Metazoa	79	23
P09791	Trypanosoma brucei brucei	Other	129	27
P09954	Sus scrofa (Pig)	Metazoa	419	16
P09955	Sus scrofa (Pig)	Metazoa	416	15
P0C194	Opisthacanthus madagascariensis (Scorpion)	Metazoa	63	21
P0C1X2	Conus striatus (Striated cone)	Metazoa	86	26
P0C1X7	Tityus discrepans (Venezuelan scorpion)	Metazoa	83	20
P0C2F4	Heterometrus laoticus (Thai giant scorpion)	Metazoa	95	19
P0C8E8	Rhipicephalus sanguineus (Brown dog tick) (Ixodes sanguineus)	Metazoa	86	20
P0C8G7	Pomacea canaliculata (Golden apple snail)	Metazoa	286	30
P0CC12	Odontobuthus doriae (Yellow Iranian scorpion)	Metazoa	57	28
P0DJI9	Homo sapiens (Human)	Metazoa	122	18
P0DJJ8	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	Metazoa	138	16
P0DMJ5	Radianthus crispa (Leathery sea anemone) (Heteractis crispa)	Metazoa	78	22
P0DMM8	Tityus trivittatus (Argentinean scorpion)	Metazoa	84	20
P0DQP7	Cerrophidion godmani (Porthidium godmani) (Bothrops godmani)	Metazoa	200	19
P0DQP8	Cerrophidion godmani (Porthidium godmani) (Bothrops godmani)	Metazoa	166	19
P0DUJ5	Pterois volitans (Red lionfish) (Gasterosteus volitans)	Metazoa	66	22
P0DUS6	Doratifera vulnerans (Mottled cup moth)	Metazoa	60	24
P0DUT6	Doratifera vulnerans (Mottled cup moth)	Metazoa	66	20
P0DY56	Homo sapiens (Human)	Metazoa	189	23
P10256	Oncorhynchus keta (Chum salmon) (Salmo keta)	Metazoa	142	23
P10257	Oncorhynchus keta (Chum salmon) (Salmo keta)	Metazoa	137	24
P10281	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	Fungi	276	17
P10607	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	Metazoa	210	22
P10673	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	170	23
P10762	Locusta migratoria (Migratory locust)	Metazoa	179	16
P10813	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	Metazoa	215	25
P10968	Triticum aestivum (Wheat)	Plants	212	26
P11069	Lumbricus terrestris (Common earthworm)	Metazoa	170	17
P12068	Sus scrofa (Pig)	Metazoa	146	18
P12069	Sus scrofa (Pig)	Metazoa	148	18
P12337	Oryctolagus cuniculus (Rabbit)	Metazoa	565	18
P12420	Equus caballus (Horse)	Metazoa	229	30
P12706	Xenopus laevis (African clawed frog)	Metazoa	106	23
P12707	Xenopus laevis (African clawed frog)	Metazoa	106	23
P12725	Ovis aries (Sheep)	Metazoa	416	24
P12872	Homo sapiens (Human)	Metazoa	115	25
P13087	Synsepalum dulcificum (Miracle fruit) (Richadella dulcifica)	Plants	220	29
P13204	Bos taurus (Bovine)	Metazoa	129	26
P13213	Bos taurus (Bovine)	Metazoa	303	17
P13487	Leiurus hebraeus (Hebrew deathstalker scorpion) (Leiurus quinquestriatus hebraeus)	Metazoa	59	22
P13731	Gallus gallus (Chicken)	Metazoa	405	15
P13744	Cucurbita maxima (Pumpkin) (Winter squash)	Plants	480	21
P13909	Bos taurus (Bovine)	Metazoa	402	23
P13917	Glycine max (Soybean) (Glycine hispida)	Plants	427	24
P14133	Cucumis sativus (Cucumber)	Plants	587	33
P14765	Ovis aries (Sheep)	Metazoa	97	28
P14944	Carcinus maenas (Common shore crab) (Green crab)	Metazoa	142	26
P15156	Mesocricetus auratus (Golden hamster)	Metazoa	695	21
P15196	Oryctolagus cuniculus (Rabbit)	Metazoa	398	31
P15228	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	85	21
P15242	Rattus norvegicus (Rat)	Metazoa	333	17
P15467	Bos taurus (Bovine)	Metazoa	147	28
P15468	Sus scrofa (Pig)	Metazoa	147	28
P15478	Solanum tuberosum (Potato)	Plants	386	23
P15522	Camelus dromedarius (Dromedary) (Arabian camel)	Metazoa	155	18
P15737	Hordeum vulgare (Barley)	Plants	334	28
P16404	Erythrina corallodendron (Coral tree)	Plants	281	26
P16611	Sus scrofa (Pig)	Metazoa	293	27
P17572	Meleagris gallopavo (Wild turkey)	Metazoa	229	30
P17690	Bos taurus (Bovine)	Metazoa	345	19
P18137	Sus scrofa (Pig)	Metazoa	141	19
P18329	Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	Metazoa	80	21
P18417	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	Plants	352	31
P18626	Capra hircus (Goat)	Metazoa	214	15
P18657	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Metazoa	83	26
P18659	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Metazoa	99	20
P18709	Xenopus laevis (African clawed frog)	Metazoa	1807	15
P18829	Schistocerca gregaria (Desert locust) (Gryllus gregarius)	Metazoa	63	22
P18892	Bos taurus (Bovine)	Metazoa	526	26
P18915	Bos taurus (Bovine)	Metazoa	319	14
P18926	Centruroides tecomanus (Scorpion) (Centruroides limpidus tecomanus)	Metazoa	87	19
P19035	Bos taurus (Bovine)	Metazoa	96	23
P19111	Bos taurus (Bovine)	Metazoa	533	19
P19136	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Fungi	382	24
P19329	Phaseolus vulgaris (Kidney bean) (French bean)	Plants	265	21
P19400	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	Metazoa	169	20
P19425	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	Metazoa	97	19
P19594	Glycine max (Soybean) (Glycine hispida)	Plants	158	21
P19707	Felis catus (Cat) (Felis silvestris catus)	Metazoa	129	18
P19708	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	129	18
P19855	Leiurus quinquestriatus quinquestriatus (Egyptian scorpion) (Deathstalker scorpion)	Metazoa	82	21
P19876	Homo sapiens (Human)	Metazoa	107	34
P20013	Trametes versicolor (White-rot fungus) (Coriolus versicolor)	Fungi	372	26
P20059	Rattus norvegicus (Rat)	Metazoa	460	23
P20476	Craspedocephalus gramineus (Bamboo pit viper) (Trimeresurus gramineus)	Metazoa	138	16
P20656	Saponaria officinalis (Common soapwort) (Lychnis saponaria)	Plants	299	24
P20740	Gallus gallus (Chicken)	Metazoa	1473	36
P20757	Ovis aries (Sheep)	Metazoa	476	24
P21226	Pisum sativum (Garden pea) (Lathyrus oleraceus)	Plants	324	20
P21326	Mirabilis jalapa (Garden four-o'clock)	Plants	278	28
P21828	Bombyx mori (Silk moth)	Metazoa	262	16
P21837	Dictyostelium discoideum (Social amoeba)	Other	550	19
P21919	Gadus morhua (Atlantic cod)	Metazoa	235	26
P22325	Cavia porcellus (Guinea pig)	Metazoa	405	24
P22952	Sus scrofa (Pig)	Metazoa	117	36
P22969	Equus caballus (Horse)	Metazoa	182	25
P23028	Pseudonaja textilis (Eastern brown snake)	Metazoa	152	19
P23035	Oryctolagus cuniculus (Rabbit)	Metazoa	413	24
P23360	Thermoascus aurantiacus	Fungi	329	26
P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15
P23577	Chlamydomonas reinhardtii (Chlamydomonas smithii)	Plants	317	31
P23806	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	Metazoa	152	23
P24258	Chlamydomonas reinhardtii (Chlamydomonas smithii)	Plants	380	20
P24476	Dianthus caryophyllus (Carnation) (Clove pink)	Plants	293	23
P24792	Cucurbita maxima (Pumpkin) (Winter squash)	Plants	579	30
P24817	Momordica charantia (Bitter gourd) (Balsam pear)	Plants	286	23
P25033	Hyalophora cecropia (Cecropia moth) (Samia cecropia)	Metazoa	413	19
P25796	Cavia porcellus (Guinea pig)	Metazoa	391	19
P26652	Gallus gallus (Chicken)	Metazoa	212	24
P26729	Bombyx mori (Silk moth)	Metazoa	92	19
P26730	Bombyx mori (Silk moth)	Metazoa	92	19
P26732	Bombyx mori (Silk moth)	Metazoa	92	19
P26776	Sus scrofa (Pig)	Metazoa	153	20
P27485	Sus scrofa (Pig)	Metazoa	201	18
P28316	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	Metazoa	338	18
P28351	Aspergillus niger	Fungi	545	31
P29007	Bombina orientalis (Oriental fire-bellied toad)	Metazoa	155	31
P30224	Arabidopsis thaliana (Mouse-ear cress)	Plants	80	29
P31226	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	Metazoa	844	19
P31231	Pelophylax lessonae (Pool frog) (Rana lessonae)	Metazoa	420	22
P31235	Oryctolagus cuniculus (Rabbit)	Metazoa	409	19
P31532	Mus musculus (Mouse)	Metazoa	130	18
P31779	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	Metazoa	153	24
P31854	Vipera berus berus (Common viper)	Metazoa	138	16
P32358	Bombyx mori (Silk moth)	Metazoa	579	15
P32936	Hordeum vulgare (Barley)	Plants	149	24
P33093	Macaca mulatta (Rhesus macaque)	Metazoa	217	26
P33183	Sambucus nigra (European elder)	Plants	563	25
P33185	Bryonia dioica (Red bryony) (Bryonia cretica subsp. dioica)	Plants	290	23
P33557	Aspergillus kawachii (strain NBRC 4308) (White koji mold) (Aspergillus awamori var. kawachi)	Fungi	211	27
P33559	Aspergillus kawachii (strain NBRC 4308) (White koji mold) (Aspergillus awamori var. kawachi)	Fungi	327	25
P33579	Rattus norvegicus (Rat)	Metazoa	238	30
P34095	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	98	21
P34180	Vipera ammodytes ammodytes (Western sand viper)	Metazoa	137	16
P34207	Rattus norvegicus (Rat)	Metazoa	223	28
P34745	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	Metazoa	200	22
P34746	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	Metazoa	204	17
P35496	Sus scrofa (Pig)	Metazoa	137	21
P35541	Bos taurus (Bovine)	Metazoa	130	18
P35572	Rattus norvegicus (Rat)	Metazoa	226	25
P35778	Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri)	Metazoa	234	22
P35807	Schistocerca nitens (Vagrant locust) (Gray bird grasshopper)	Metazoa	61	22
P35859	Rattus norvegicus (Rat)	Metazoa	603	23
P36438	Brassica rapa subsp. rapa (Turnip)	Plants	320	35
P37240	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	Metazoa	147	20
P38660	Mesocricetus auratus (Golden hamster)	Metazoa	439	19
P41361	Bos taurus (Bovine)	Metazoa	465	32
P41822	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	Metazoa	209	27
P42578	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	Metazoa	239	18
P42660	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	Metazoa	471	19
P42705	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	352	23
P45628	Leiurus hebraeus (Hebrew deathstalker scorpion) (Leiurus quinquestriatus hebraeus)	Metazoa	59	22
P45662	Centruroides noxius (Mexican scorpion)	Metazoa	87	19
P45663	Centruroides noxius (Mexican scorpion)	Metazoa	87	19
P46162	Bos taurus (Bovine)	Metazoa	63	22
P46163	Bos taurus (Bovine)	Metazoa	64	22
P46165	Bos taurus (Bovine)	Metazoa	62	22
P46168	Bos taurus (Bovine)	Metazoa	62	22
P47853	Rattus norvegicus (Rat)	Metazoa	369	16
P48747	Oryctolagus cuniculus (Rabbit)	Metazoa	557	21
P49141	Monodelphis domestica (Gray short-tailed opossum)	Metazoa	149	20
P49921	Sus scrofa (Pig)	Metazoa	91	23
P50448	Bos taurus (Bovine)	Metazoa	468	23
P50828	Sus scrofa (Pig)	Metazoa	459	28
P51918	Haplochromis burtoni (Burton's mouthbrooder) (Chromis burtoni)	Metazoa	94	22
P51925	Sparus aurata (Gilthead sea bream)	Metazoa	85	23
P52753	Cryphonectria parasitica (Chestnut blight fungus) (Endothia parasitica)	Fungi	118	22
P53543	Clarias gariepinus (North African catfish) (Silurus gariepinus)	Metazoa	138	21
P54107	Homo sapiens (Human)	Metazoa	249	21
P55803	Bos taurus (Bovine)	Metazoa	246	28
P56526	Aspergillus niger	Fungi	985	25
P56595	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	88	26
P56612	Tityus stigmurus (Brazilian scorpion)	Metazoa	84	19
P56742	Crotalus atrox (Western diamondback rattlesnake)	Metazoa	516	18
P56829	Ovis aries (Sheep)	Metazoa	195	23
P56972	Pandinus imperator (Emperor scorpion)	Metazoa	94	19
P58294	Homo sapiens (Human)	Metazoa	105	19
P59938	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	57	21
P60153	Homo sapiens (Human)	Metazoa	205	26
P60213	Tityus obscurus (Amazonian scorpion) (Tityus cambridgei)	Metazoa	86	20
P60215	Tityus obscurus (Amazonian scorpion) (Tityus cambridgei)	Metazoa	86	20
P60301	Naja atra (Chinese cobra)	Metazoa	81	21
P60304	Naja atra (Chinese cobra)	Metazoa	81	21
P60616	Bungarus multicinctus (Many-banded krait)	Metazoa	95	21
P61629	Papio anubis (Olive baboon)	Metazoa	148	18
P61917	Pan troglodytes (Chimpanzee)	Metazoa	151	19
P62375	Naja atra (Chinese cobra)	Metazoa	83	21
P62520	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	Metazoa	63	27
P63152	Cavia porcellus (Guinea pig)	Metazoa	143	23
P67876	Aspergillus restrictus	Fungi	176	27
P67976	Ovis aries (Sheep)	Metazoa	180	18
P67977	Semnopithecus entellus (Northern plains gray langur) (Presbytis entellus)	Metazoa	148	18
P69130	Oncorhynchus keta (Chum salmon) (Salmo keta)	Metazoa	211	23
P69241	Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)	Plants	80	29
P70090	Craspedocephalus gramineus (Bamboo pit viper) (Trimeresurus gramineus)	Metazoa	138	16
P78733	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Fungi	380	25
P80022	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Plants	230	25
P80060	Locusta migratoria (Migratory locust)	Metazoa	92	19
P80195	Bos taurus (Bovine)	Metazoa	153	18
P80245	Naja atra (Chinese cobra)	Metazoa	81	21
P80284	Hordeum vulgare (Barley)	Plants	513	25
P80325	Cavia porcellus (Guinea pig)	Metazoa	96	23
P80356	Avena sativa (Oat)	Plants	220	19
P80426	Salmo salar (Atlantic salmon)	Metazoa	690	18
P80429	Salmo salar (Atlantic salmon)	Metazoa	691	18
P80463	Phaseolus lunatus (Lima bean) (Phaseolus limensis)	Plants	428	24
P80513	Bos taurus (Bovine)	Metazoa	179	21
P80748	Homo sapiens (Human)	Metazoa	117	17
P80958	Naja atra (Chinese cobra)	Metazoa	82	21
P81019	Bos taurus (Bovine)	Metazoa	183	25
P81264	Bos taurus (Bovine)	Metazoa	98	22
P81447	Capra hircus (Goat)	Metazoa	154	18
P81497	Suncus murinus (Asian house shrew) (Musk shrew)	Metazoa	387	16
P81498	Suncus murinus (Asian house shrew) (Musk shrew)	Metazoa	389	16
P81761	Hottentotta tamulus (Eastern Indian scorpion) (Mesobuthus tamulus)	Metazoa	62	24
P81783	Bungarus candidus (Malayan krait)	Metazoa	87	21
P82358	Acanthoscurria gomesiana (Tarantula spider) (Phormictopus pheopygus)	Metazoa	84	23
P82592	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	Metazoa	59	23
P82662	Ophiophagus hannah (King cobra) (Naja hannah)	Metazoa	91	21
P82966	Ophiophagus hannah (King cobra) (Naja hannah)	Metazoa	83	25
P83313	Opistophthalmus carinatus (African yellow leg scorpion)	Metazoa	82	22
P83326	Actinidia deliciosa (Kiwi)	Plants	185	32
P83371	Oncorhynchus keta (Chum salmon) (Salmo keta)	Metazoa	508	25
P83400	Hottentotta tamulus (Eastern Indian scorpion) (Mesobuthus tamulus)	Metazoa	60	24
P83636	Faxonius limosus (Spinycheek crayfish) (Orconectes limosus)	Metazoa	106	29
P84039	Rattus norvegicus (Rat)	Metazoa	477	24
P84527	Actinidia deliciosa (Kiwi)	Plants	213	24
P84693	Tityus obscurus (Amazonian scorpion) (Tityus cambridgei)	Metazoa	84	19
P84809	Buthus occitanus tunetanus (Common European scorpion) (Buthus tunetanus)	Metazoa	95	22
P84843	Hybomitra bimaculata (Horse fly)	Metazoa	76	20
P85213	Galleria mellonella (Greater wax moth)	Metazoa	72	29
P85261	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	Plants	213	24
P85966	Triticum kiharae (Wheat)	Plants	116	34
P86403	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	85	19
P86404	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	86	19
P86405	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	86	19
P86406	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	86	20
P86407	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	75	22
P86798	Cupiennius salei (American wandering spider)	Metazoa	140	19
P86841	Clitoria ternatea (Butterfly pea)	Plants	124	28
P86875	Vespa magnifica (Hornet)	Metazoa	357	26
P93543	Sambucus nigra (European elder)	Plants	569	28
P97535	Rattus norvegicus (Rat)	Metazoa	456	24
P98140	Bos taurus (Bovine)	Metazoa	612	19
Q00017	Aspergillus aculeatus	Fungi	250	17
Q00293	Aspergillus tubingensis	Fungi	435	22
Q00870	Fusarium solani subsp. phaseoli (Nectria haematococca)	Fungi	350	19
Q01117	Lipomyces kononenkoae (Yeast)	Fungi	624	28
Q01490	Orpinomyces sp. (strain PC-2)	Fungi	203	22
Q02862	Mus musculus (Mouse)	Metazoa	184	15
Q04457	Caenorhabditis elegans	Metazoa	562	16
Q05091	Pyrus communis (Pear) (Pyrus domestica)	Plants	330	24
Q05186	Mus musculus (Mouse)	Metazoa	325	23
Q05443	Bos taurus (Bovine)	Metazoa	342	18
Q05538	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Plants	322	22
Q06K77	Phlebotomus duboscqi (Sandfly)	Metazoa	336	21
Q07081	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	Metazoa	464	16
Q07154	Zea mays (Maize)	Plants	269	24
Q07203	Xenopus laevis (African clawed frog)	Metazoa	238	16
Q08127	Anguilla anguilla (European freshwater eel) (Muraena anguilla)	Metazoa	147	20
Q0GY40	Hoffmannihadrurus gertschi (Scorpion) (Hadrurus gertschi)	Metazoa	95	19
Q0P569	Bos taurus (Bovine)	Metazoa	474	24
Q10E50	Oryza sativa subsp. japonica (Rice)	Plants	163	43
Q10NX8	Oryza sativa subsp. japonica (Rice)	Plants	858	30
Q12546	Aspergillus ficuum	Fungi	614	22
Q14641	Homo sapiens (Human)	Metazoa	139	25
Q16927	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	Metazoa	2169	46
Q17058	Apis mellifera (Honeybee)	Metazoa	567	17
Q18184	Caenorhabditis elegans	Metazoa	89	23
Q1HAY7	Holotrichia diomphalia (Korean black chafer)	Metazoa	317	23
Q1ZY03	Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	Metazoa	138	16
Q26636	Sarcophaga peregrina (Flesh fly) (Boettcherisca peregrina)	Metazoa	339	17
Q27085	Tachypleus tridentatus (Japanese horseshoe crab)	Metazoa	418	24
Q27086	Tachypleus tridentatus (Japanese horseshoe crab)	Metazoa	408	22
Q27972	Bos taurus (Bovine)	Metazoa	361	24
Q28862	Bos taurus (Bovine)	Metazoa	310	16
Q28989	Sus scrofa (Pig)	Metazoa	421	26
Q29381	Sus scrofa (Pig)	Metazoa	439	25
Q29422	Ovis aries (Sheep)	Metazoa	333	20
Q2HZ28	Bothrops erythromelas (Caatinga lance head)	Metazoa	138	16
Q2NME3	Tityus zulianus (Venezuelan scorpion)	Metazoa	86	20
Q2PG81	Protobothrops elegans (Elegant pitviper) (Trimeresurus elegans)	Metazoa	137	16
Q2PGV8	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	Fungi	361	26
Q2PGY1	Penicillium citrinum	Fungi	217	27
Q2PWA3	Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	Metazoa	138	16
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	Fungi	690	20
Q2YHJ4	Craspedocephalus borneensis (Borneo pit viper) (Trimeresurus borneensis)	Metazoa	138	16
Q2YHJ8	Craspedocephalus puniceus (Flat-nosed pitviper) (Trimeresurus puniceus)	Metazoa	138	16
Q2YHJ9	Craspedocephalus puniceus (Flat-nosed pitviper) (Trimeresurus puniceus)	Metazoa	138	16
Q39487	Colocasia esculenta (Wild taro) (Arum esculentum)	Plants	267	26
Q39528	Cladrastis kentukea (Yellow wood) (Cladrastis lutea)	Plants	293	35
Q39529	Cladrastis kentukea (Yellow wood) (Cladrastis lutea)	Plants	290	35
Q39649	Cucurbita maxima (Pumpkin) (Winter squash)	Plants	141	22
Q3C258	Actinia equina (Beadlet anemone)	Metazoa	70	20
Q3HLQ4	Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	Metazoa	138	16
Q3UN54	Mus musculus (Mouse)	Metazoa	99	21
Q3YBN2	Mesocricetus auratus (Golden hamster)	Metazoa	398	19
Q41161	Robinia pseudoacacia (Black locust)	Plants	285	31
Q41162	Robinia pseudoacacia (Black locust)	Plants	285	31
Q41649	Vicia faba (Broad bean) (Faba vulgaris)	Plants	151	22
Q45Z11	Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan)	Metazoa	83	21
